ページ,セクション,位置,テキスト,,,,,,,,,,,,,,,,,,
トップページ,トップスライダー,メインキャッチ,力を合わせて、想いを叶えます,,,,,,,,,,,,,,,,,,
トップページ,トップスライダー,サブキャッチ1,地域の課題を解決し、,,,,,,,,,,,,,,,,,,
トップページ,トップスライダー,サブキャッチ2,誰もが安心して働き暮らせる地域へ,,,,,,,,,,,,,,,,,,
トップページ,わたし達について,テキスト,ワーカーズコープは、市民と一緒に地域に必要な仕事をおこし、事業を通して誰もが安心して働き暮らせる地域づくりを目指す、非営利の協同組合です。,,,,,,,,,,,,,,,,,,
トップページ,事業1,業種名,子育ち支援事業,,,,,,,,,,,,,,,,,,
トップページ,事業1,内容,「子育て」ではなく「子育ち」という視点で、保育園、学童クラブ、親子ひろば、放課後等デイサービス等を運営しています,,,,,,,,,,,,,,,,,,
トップページ,事業2,業種名,障がい者支援事業,,,,,,,,,,,,,,,,,,
トップページ,事業2,内容,障がい者の生活面のケアや機能訓練、継続して働く場を地域と一緒につくっています,,,,,,,,,,,,,,,,,,
トップページ,事業3,業種名,高齢者関連事業,,,,,,,,,,,,,,,,,,
トップページ,事業3,内容,介護保険法に基づく高齢者福祉サービスや、介護予防、生活支援など高齢者の生活を総合的に支えています,,,,,,,,,,,,,,,,,,
トップページ,採用情報,テキスト,地域の困りごとを、働く仲間と共に解決しませんか。あなたの想いと力が、誰もが安心して働き暮らせる地域をつくる原動力になります。,,,,,,,,,,,,,,,,,,
わたし達について,わたし達について,キャッチ,みんなで出資し話し合って運営する働き方「協同労働」で、持続可能な地域をつくります,,,,,,,,,,,,,,,,,,
わたし達について,わたし達について,文章,"ワーカーズコープ連合会の加盟組織である、ワーカーズコープ・センター事業団は 2022年12月13日に設立から35年を迎えました。ワーカーズコープ連合会が1982年に設立した直轄事業団をルーツとしています。日本で初めて労働者協同組合の実践を創り、社会に大きく広がる原動力の一つとなりました。現在は就労者が6,000人を超える労働者協同組合です。2022年10月1日に労働者協同組合法が施行され、ワーカーズコープの新たな歴史が始まります。持続可能な地域をつくるのは、働く者・市民自身。ワーカーズコープはこれからも地域の存在となり続け、地域の必要に応えていきます。",,,,,,,,,,,,,,,,,,
事業内容,事業1,事業名,子育ち支援事業,,,,,,,,,,,,,,,,,,
事業内容,事業1,テキスト,子どもは自ら育つ力を持っている。『子育て』ではなく『子育ち』を応援するのが大人の役割です。協同労働のよい仕事は、一人ひとりの成長に価値を置いています。子ども一人ひとりに寄り添い、その成長・発達を見守ります。働く仲間同士、子どもや保護者、地域の人々と対話を重ね、誰もが安心できる居場所をつくり出します。困ったときに「助けて」と言える地域社会をつくることが私たちの重要な役割ですす。,,,,,,,,,,,,,,,,,,
事業内容,事業2,事業名,障がい者支援事業,,,,,,,,,,,,,,,,,,
事業内容,事業2,テキスト,障害のある当事者や保護者からの切実な声を受け、就労や生活を支援する事業や職業訓練を立ち上げてきました。協同労働で大切にしているのは、障害のある・なしにかかわらず、共に働く中で、学び、成長し合うことです。当事者と共に困難を解決する仕事をおこし、誰もがその人らしく生きられる持続可能な地域づくりを目指しています。,,,,,,,,,,,,,,,,,,
